_original_section,_code_type,StatuteLiteral,_level,EnactDate,RepealAmendDate,_section_only,_subparts,_subdivision,_paragraph,_subparagraph,_clause,_charge_reconstructed
4326(A),BP,OBT HYPO NDL/SRYNGE:FRAUD,M,1997-01-01,2020-12-31,4326,(A),(A),,,,4326(A)
4326(B),BP,MISUSE HYPO NEEDL/SYRINGE,M,1997-01-01,2020-12-31,4326,(B),(B),,,,4326(B)
4327,BP,SELL/ETC DRUGS:UNDER INFL,M,1997-01-01,,4327,,,,,,4327
4329,BP,MAN/ETC PHARM/ETC NO REG,M,1997-01-01,,4329,,,,,,4329
4330,FG,TAKE DEER W/O LICENSE,M,1958-01-01,,4330,,,,,,4330
4330(A),BP,OWNER:NON-PHARM DISP PRSC,M,1995-01-01,,4330,(A),(A),,,,4330(A)
4331(A),BP,UNAUTH GIVE DANG DEV/ETC,M,1997-01-01,,4331,(A),(A),,,,4331(A)
4332,BP,DANG DRUG/ETC RECORD VIOL,M,1997-01-01,,4332,,,,,,4332
4336,FG,POSSESS UNTAGGED DEER,M,1957-09-11,,4336,,,,,,4336
4336(A),BP,DANG DRUG:USE MNR:AGENT,F,1997-01-01,,4336,(A),(A),,,,4336(A)
4341,FG,DEER TAG NOT COUNTERSIGND,M,1961-09-15,,4341,,,,,,4341
4421,PR,BURN LAND OF ANOTHER,M,1965-09-17,,4421,,,,,,4421
4422(B),PR,ALLOW FIRE:ESCAPE/SPREAD,M,1965-09-17,,4422,(B),(B),,,,4422(B)
4423,PR,BURN W/O PERMIT,M,1965-09-17,,4423,,,,,,4423
4435,PR,NEG:MAINT/OPR:CAUSE FIRE,M,1966-01-01,,4435,,,,,,4435
4454(A),VC,NO REGISTRATION IN VEH,I,1983-01-01,,4454,(A),(A),,,,4454(A)
4457,VC,LOST/ETC DMV REG/ETC VIOL,I,1989-01-01,,4457,,,,,,4457
4461(A),VC,IMPROP USE/ETC REG:UNAUTH,M,1997-01-01,,4461,(A),(A),,,,4461(A)
4461(B),VC,LOAN DISABL PLACRD:UNAUTH,M,1991-01-01,,4461,(B),(B),,,,4461(B)
4461(C),VC,DISPLY UNAUTH DISABL PLAC,M,1991-01-01,,4461,(C),(C),,,,4461(C)
4461(D),VC,USE VEH DISABL PLATE:PRKG,M,2010-01-01,,4461,(D),(D),,,,4461(D)
4462(A),VC,FAIL PROVIDE VEH REG:PO,I,1967-01-01,,4462,(A),(A),,,,4462(A)
4462(B),VC,SHO ON VEH/GIV PO FLS DOC,I,1967-01-01,,4462,(B),(B),,,,4462(B)
4462(C),VC,UNLAWF POSS VEH REG/ETC,M,1997-01-01,,4462,(C),(C),,,,4462(C)
4462.5,VC,SHO ON VEH/GIV PO FLS REG,M,1989-01-01,,4462.5,,,,,,4462.5
4463(A)(1),VC,FORGE/ALTER VEH REG/ETC,F,1981-01-01,,4463,(A)(1),(A),(1),,,4463(A)(1)
4463(A)(1),VC,FORGE/ALTER VEH REG/ETC,M,1981-01-01,,4463,(A)(1),(A),(1),,,4463(A)(1)
4463(A)(2),VC,UTER/ETC FAKE VEH REG/ETC,F,1983-01-01,,4463,(A)(2),(A),(2),,,4463(A)(2)
4463(A)(2),VC,UTER/ETC FAKE VEH REG/ETC,M,1983-01-01,,4463,(A)(2),(A),(2),,,4463(A)(2)
4463(B)(1),VC,FORGE/ETC DISABLD PLACARD,M,1983-01-01,,4463,(B)(1),(B),(1),,,4463(B)(1)
4463(B)(2),VC,PASS/ETC FAKE DISABL PLAC,M,1983-01-01,,4463,(B)(2),(B),(2),,,4463(B)(2)
4463(B)(3),VC,FRAUD:POS/ETC DISABL PLAC,M,1983-01-01,,4463,(B)(3),(B),(3),,,4463(B)(3)
4463(C),VC,SHO/ETC DISABL PLAC:FRAUD,M,1983-01-01,,4463,(C),(C),,,,4463(C)
4463(E)(1),VC,FORGE/ETC CLEAN AIR STKER,I,2009-01-01,,4463,(E)(1),(E),(1),,,4463(E)(1)
4463(E)(2),VC,PASS FALSE CLEAN AIR STKR,I,2009-01-01,,4463,(E)(2),(E),(2),,,4463(E)(2)
4463(E)(3),VC,POS/ETC FLSE CLN AIR STKR,I,2009-01-01,,4463,(E)(3),(E),(3),,,4463(E)(3)
4463(E)(4),VC,POS GENUINE CLN AIR STKR,I,2009-01-01,,4463,(E)(4),(E),(4),,,4463(E)(4)
4463.5(A),VC,MFG/ETC FAK/ETC LIC PLATE,M,1987-01-01,,4463.5,(A),(A),,,,4463.5(A)
4464,VC,DISPLAY ALTERED LIC PLATE,I,1959-09-18,,4464,,,,,,4464
4500,PC,ASSAULT BY LIFE PRISONER,F,1974-01-01,2020-10-27,4500,,,,,,4500
4500,PC,ASSLT DDLY WPN LIFE PRSNR,F,2020-10-28,,4500,,,,,,4500
4500,FG,TAKE MARINE MAMMAL VIOL,M,1976-09-28,,4500,,,,,,4500
4501,PC,ADW BY PRISONER,F,1963-09-20,2020-11-11,4501,,,,,,4501
4501(B),PC,ASSLT W/FRC GBI BY PRISNR,F,1963-09-20,,4501,(B),(B),,,,4501(B)
4501.1(A),PC,AGG BAT:GASSING BY PRISNR,F,1999-01-01,,4501.1,(A),(A),,,,4501.1(A)
4501.1(A),PC,BATTERY BY GASSING ON PO,M,1999-01-01,,4501.1,(A),(A),,,,4501.1(A)
4501.5,PC,BATTERY BY PRISONER,F,1963-09-20,2020-10-27,4501.5,,,,,,4501.5
4501.5,PC,BATT BY INMAT ON NONPRSNR,F,2020-10-28,,4501.5,,,,,,4501.5
4502(A),PC,PRISONER POSSESS WEAPON,F,1994-01-01,,4502,(A),(A),,,,4502(A)
4502(B),PC,PRISONER MFG WEAPON/ETC,F,1994-01-01,2020-11-08,4502,(B),(B),,,,4502(B)
4502(B),PC,PRISONER MFG/ATT MFG WPN,F,2020-11-09,,4502,(B),(B),,,,4502(B)
4503,PC,CONFINED PRSN HOLD HOSTGE,F,1963-09-20,2020-10-27,4503,,,,,,4503
4503,PC,INMAT HLD HOSTAGE IN PRSN,F,2020-10-28,,4503,,,,,,4503
4530(A),PC,PRISONER ESCAPE W/FORCE,F,1963-09-20,2020-11-04,4530,(A),(A),,,,4530(A)
4530(A),PC,PRISONER ESC/ATT FORC/VIO,F,2020-11-05,,4530,(A),(A),,,,4530(A)
4530(B),PC,PRISONER ESCAPE W/O FORCE,F,1963-09-20,2020-11-04,4530,(B),(B),,,,4530(B)
4530(B),PC,PRISONER ESC/ATT W/O FORC,F,2020-11-05,,4530,(B),(B),,,,4530(B)
4530(C),PC,FAIL TO RETRN TO CONFNMNT,F,1970-11-23,,4530,(C),(C),,,,4530(C)
4530(C),PC,FAIL RET CNFMNT:TEMP RELS,F,1970-11-23,,4530,(C),(C),,,,4530(C)
4532(A)(1),PC,ESC JAIL/ETC:CHRG/ETC:MIS,F,1996-01-01,2020-11-04,4532,(A)(1),(A),(1),,,4532(A)(1)
4532(A)(1),PC,ESC JAIL/ETC:MIS W/O FRCE,M,2011-10-01,,4532,(A)(1),(A),(1),,,4532(A)(1)
4532(A)(1),PC,ESCAPE/ATTEMPT W/FRC/VIOL,F,2020-11-05,,4532,(A)(1),(A),(1),,,4532(A)(1)
4532(A)(2),PC,ESC:CHG/ETC:MISD:FRC/VIOL,F,1996-01-01,,4532,(A)(2),(A),(2),,,4532(A)(2)
4532(B)(1),PC,ESC JAIL/ETC:CHRG/ETC:FEL,F,1996-01-01,2020-11-04,4532,(B)(1),(B),(1),,,4532(B)(1)
4532(B)(1),PC,ESCAPE:FELONY CHG PENDING,M,1996-01-01,2020-11-04,4532,(B)(1),(B),(1),,,4532(B)(1)
4532(B)(1),PC,ESCAPE/ATT FELON FRM PRSN,F,2020-11-05,,4532,(B)(1),(B),(1),,,4532(B)(1)
4532(B)(1),PC,ESCAPE/ATT FELON FRM PRSN,M,2020-11-05,,4532,(B)(1),(B),(1),,,4532(B)(1)
4532(B)(2),PC,ESC:CHG/ETC:FEL:FORCE/VI0,F,1996-01-01,2020-11-04,4532,(B)(2),(B),(2),,,4532(B)(2)
4532(B)(2),PC,ESCAPE/ATT FELON FRC/VIOL,M,1996-01-01,,4532,(B)(2),(B),(2),,,4532(B)(2)
4532(B)(2),PC,ESCAPE/ATT FELON FRC/VIOL,F,2020-11-05,,4532,(B)(2),(B),(2),,,4532(B)(2)
4532(C),PC,INMATE 1170.05 ESCAPE,M,1996-01-01,,4532,(C),(C),,,,4532(C)
4532(D),PC,ESC:FAIL RET JAIL:WRK/ETC,M,1999-01-01,2010-12-31,4532,(D),(D),,,,4532(D)
4532(D),PC,ESC:NOT RET JAIL:WORK/ETC,F,1999-01-01,2010-12-31,4532,(D),(D),,,,4532(D)
4533,PC,GUARD AID ESCAPE,F,1941-09-13,,4533,,,,,,4533
4534,PC,ANY PERSON AID ESCAPE,F,1941-09-13,2020-11-04,4534,,,,,,4534
4534,PC,ASST ESC PRSNR PAROL RVKD,F,2020-11-05,,4534,,,,,,4534
4535,PC,FURNISH ESCAPE EQUIPMENT,F,1941-09-13,,4535,,,,,,4535
4536(A),PC,MDSO ESCAPE:MEN HLTH FAC,F,1982-01-01,,4536,(A),(A),,,,4536(A)
4536(A),PC,MDSO ESCAPE:MNTL HLTH FAC,M,1982-01-01,,4536,(A),(A),,,,4536(A)
4550(B),PC,RESCUE/ATT NONCAP PRISONR,M,1941-09-13,,4550,(B),(B),,,,4550(B)
4550(B),PC,RESCUE/ATT NONCAP PRISONR,F,2020-11-13,,4550,(B),(B),,,,4550(B)
4550.1,PC,AID RESCUE OF PRISONER,F,1941-09-13,2020-11-12,4550.1,,,,,,4550.1
4550.2,PC,AID RESCUE OF PRISONER,F,1941-09-13,2020-11-12,4550.2,,,,,,4550.2
4570,PC,UNAUTH COMMUN W/PRISONER,M,1941-09-13,,4570,,,,,,4570
4570.1,PC,UNAUTH DLVR COMMUN PRSNR,M,2020-11-05,,4570.1,,,,,,4570.1
4570.1,PC,UNAUTH COMUN WITH PRISNER,M,1983-01-01,2020-11-04,4570.1,,,,,,4570.1
4570.5,PC,FALSE ID ENTER JAIL,M,1969-11-10,,4570.5,,,,,,4570.5
4571,PC,FELON ON PRISON GROUNDS,F,1941-09-13,,4571,,,,,,4571
4573,PC,BRING CNTL SUB/ETC JAIL,F,1991-01-01,2020-11-13,4573,,,,,,4573
4573(A),PC,SMUGGLE CNTL SUB JL/PRSN,F,2020-11-16,,4573,(A),(A),,,,4573(A)
4573.5,PC,BRING ALC/DRUGS IN PRISON,F,1991-01-01,2020-11-08,4573.5,,,,,,4573.5
4573.5,PC,BRING DRGS/ALC TO JL/PRSN,F,2020-11-09,,4573.5,,,,,,4573.5
4573.6,PC,POSS CNTL SUB IN PRISON,F,1991-01-01,2020-11-12,4573.6,,,,,,4573.6
4573.6(A),PC,POSS CNTL SUBST/PARA PRSN,F,2020-11-13,,4573.6,(A),(A),,,,4573.6(A)
4573.8,PC,POSS DRUGS/ETC IN PRISON,F,1991-01-01,2020-11-03,4573.8,,,,,,4573.8
4573.8,PC,POSS DRGS/PARA IN PRSN/JL,F,2020-11-04,,4573.8,,,,,,4573.8
4573.9,PC,SELL CNTL SUB:PRSN CUSTDY,F,1991-01-01,2020-11-12,4573.9,,,,,,4573.9
4573.9(A),PC,SELL/ETC CNTL SUB ST PRSN,F,2020-11-13,,4573.9,(A),(A),,,,4573.9(A)
4574(A),PC,BRING WEAPON INTO PRISON,F,1980-01-01,2020-11-08,4574,(A),(A),,,,4574(A)
4574(A),PC,SMUGGLE WPN IN JL/PRSN,F,2020-11-09,,4574,(A),(A),,,,4574(A)
4574(B),PC,SEND WEAPON INTO PRISON,F,1980-01-01,2020-11-08,4574,(B),(B),,,,4574(B)
4574(B),PC,SEND/USE TEAR GAS IN PRSN,F,2020-11-09,,4574,(B),(B),,,,4574(B)
4574(C),PC,SEND WEAPON INTO PRISON,M,1980-01-01,2020-11-08,4574,(C),(C),,,,4574(C)
4574(C),PC,BRING TEAR GAS TO JL/PRSN,M,2020-11-09,,4574,(C),(C),,,,4574(C)
4575(A),PC,BRING CELL PH INTO JAIL,M,2007-01-01,2020-11-04,4575,(A),(A),,,,4575(A)
4575(A),PC,POSS WIRELESS DVC IN JAIL,M,2020-11-05,,4575,(A),(A),,,,4575(A)
4575(B),PC,INMATE POSSESS TOBACCO,I,2007-01-01,,4575,(B),(B),,,,4575(B)
4575(D),PC,INMATE POSSES HANDCUF KEY,M,2007-01-01,,4575,(D),(D),,,,4575(D)
4576(A),PC,DELIVER CELLPHONE:INMATE,M,2011-01-06,2020-11-08,4576,(A),(A),,,,4576(A)
4576(A),PC,POSS PHONE INT/DLVR INMAT,M,2020-11-09,,4576,(A),(A),,,,4576(A)
4577(A),PC,OP UNMANNED AIR PRISON,I,2019-01-01,,4577,(A),(A),,,,4577(A)
4600(A),PC,DAMAGE JAIL/PRISON/ETC,M,1997-01-01,,4600,(A),(A),,,,4600(A)
4600(A),PC,DAMAGE JAIL/PRISON/ETC,F,1997-01-01,2020-11-02,4600,(A),(A),,,,4600(A)
4600(A),PC,DAMAGE JAIL/PRISON $950+,F,2020-11-03,,4600,(A),(A),,,,4600(A)
4657(A),FG,FAIL TO TAG/ETC WILD PIG,M,1992-07-01,,4657,(A),(A),,,,4657(A)
4750,FG,TAKE BEAR W/O LICENSE,M,1957-09-11,,4750,,,,,,4750
4753,FG,BEAR:TAGS/POSS VIOL,M,1957-09-11,,4753,,,,,,4753
4758(A),FG,SELL/ETC BEAR MEAT/ETC,M,1989-01-01,,4758,(A),(A),,,,4758(A)
4800,FG,INJURE/POS/ETC MOUNTNLION,M,1991-01-01,,4800,,,,,,4800
4825,BP,VET MED W/O VALID LICENSE,I,1961-10-01,,4825,,,,,,4825
4825,BP,VET MED W/O VALID LICENSE,M,1961-10-01,,4825,,,,,,4825
4841.2(A),BP,PERF ANIMAL H/CARE WO LIC,M,2019-01-01,,4841.2,(A),(A),,,,4841.2(A)
4935,BP,ACUPUNCTURE W/O LICENSE,M,1982-07-01,,4935,,,,,,4935
5000,FG,TAKE/SELL/POSSES TORTOISE,M,1957-01-01,,5000,,,,,,5000
5008.10,PR,SMOKE ON STATE BEACH/PARK,I,2020-01-01,,5008.10,,,,,,5008.10
5011(A),VC,IDENT PLATE DISPLAY VIOL,I,2000-09-29,,5011,(A),(A),,,,5011(A)
5017(A),VC,IDENTIFICATION PLATE VIOL,I,2002-01-01,,5017,(A),(A),,,,5017(A)
5050,BP,PRACT PUB ACCT W/O PERMIT,M,1959-09-17,,5050,,,,,,5050
5097.99(B),PR,POSS/ETC NAT AMER ART/ETC,F,1988-01-01,,5097.99,(B),(B),,,,5097.99(B)
5200(A),VC,DISPLAY LIC PLATES WRONG,I,2004-01-01,,5200,(A),(A),,,,5200(A)
5200(B),VC,DISPLY ONE LIC PLATE WRNG,I,2004-01-01,,5200,(B),(B),,,,5200(B)
5201,VC,LICENS PLATE POSITION VIO,I,1989-01-01,2012-12-31,5201,,,,,,5201
5201(A),VC,LICENS PLATE POSITION VIO,I,2013-01-01,,5201,(A),(A),,,,5201(A)
5201(B),VC,TEMP LIC PLATE NOT RPLCED,I,2019-01-01,,5201,(B),(B),,,,5201(B)
5201(D),VC,OBSTRUCT OF LIC PLATE,I,2019-01-01,,5201,(D),(D),,,,5201(D)
5201(E),VC,LIC PLATE:LVSTCK TRLR VIO,I,1995-01-01,2010-12-31,5201,(E),(E),,,,5201(E)
5201(E)(1),VC,LIC PLT:LVSTCK TRLR VIOL,I,1995-01-01,,5201,(E)(1),(E),(1),,,5201(E)(1)
5202,VC,LICENSE PLATE DISPLAY VIO,I,1959-09-18,,5202,,,,,,5202
5204(A),VC,EXPIRED TABS/FAIL DISPLAY,I,1959-09-18,,5204,(A),(A),,,,5204(A)
5371,PU,OPR CHRTR CARIER W/O PRMT,M,1961-09-15,,5371,,,,,,5371
5379,PU,OPR CARRIER W/SUSP PERMIT,M,1961-01-01,,5379,,,,,,5379
5385,PU,FAIL DISPL CLASS ID:CHRTR,M,1968-11-13,,5385,,,,,,5385
5385.7,PU,OPERAT LIMO W/O XTRA EXIT,M,2014-01-01,,5385.7,,,,,,5385.7
5411,PU,CHRTR-PRTY CARIER EMP VIO,M,1984-01-01,,5411,,,,,,5411
5411,HS,DISCHARGE WASTE ILLEGALLY,M,1949-12-15,,5411,,,,,,5411
5411.3,PU,CHRTR-PRTY CRR:NO DSP SYM,M,1989-01-01,,5411.3,,,,,,5411.3
5412,PU,NON CHRTR-PRTY CARIER VIO,M,1984-01-01,,5412,,,,,,5412
5515(A)(1),FG,TAKE FULLY PROTECTED FISH,M,2004-01-01,,5515,(A)(1),(A),(1),,,5515(A)(1)
5521,FG,TAKE ABALONE:MORATORIUM,M,1998-01-01,,5521,,,,,,5521
5521.5,FG,ABALONE:RESTRICT:COMMERCL,M,1998-01-01,,5521.5,,,,,,5521.5
5536(A),BP,PRACT ARCHITECT W/O LIC,M,1940-01-01,,5536,(A),(A),,,,5536(A)
5536(B),BP,USE STAMP IMPLY LIC ARCHT,M,1940-01-01,,5536,(B),(B),,,,5536(B)
5536(C),BP,FALSE ADV REG BLDG DESGNR,M,1940-01-01,,5536,(C),(C),,,,5536(C)
5650(A),FG,POLUT WATER:PETROLEUM/ETC,M,1958-01-01,,5650,(A),(A),,,,5650(A)
5650(A)(4),FG,DEP REFUSE/LIME/SLAG IN W,M,1958-01-01,,5650,(A)(4),(A),(4),,,5650(A)(4)
5650(A)(6),FG,DEPT HAZ MAT TO WILDLIFE,M,2008-01-01,,5650,(A)(6),(A),(6),,,5650(A)(6)
5652,FG,PUT POLLUTANT NEAR WATERS,M,1961-09-15,,5652,,,,,,5652
5753,VC,OWN FAIL GIV/ETC CERT/REG,I,1968-11-13,,5753,,,,,,5753
5753,VC,DLR FAIL GIV/ETC CERT/REG,M,1968-11-13,,5753,,,,,,5753
5900(A),VC,FAIL NOTE DMV:VEH SEL/ETC,I,1994-01-01,,5900,(A),(A),,,,5900(A)
5901,FG,IMPEDING FISH PASSAGE,M,1958-01-01,,5901,,,,,,5901
5901(A),VC,DLR/ETC FAIL NOTE TRANSF,M,1993-07-01,,5901,(A),(A),,,,5901(A)
5902(A),VC,FAIL NOTE DMV:OWN TRANSFR,I,1990-01-01,,5902,(A),(A),,,,5902(A)
6071,RT,BUSINESS W/O SALES PERMIT,M,1943-07-01,,6071,,,,,,6071
6125,BP,PRACTICE LAW W/O LICENSE,M,1939-09-19,,6125,,,,,,6125
6126(A),BP,UNAUTH ADV/PRACTICE LAW,M,1989-01-01,,6126,(A),(A),,,,6126(A)
6126(B),BP,AD/PRACTCE LAW:SUSPENSION,F,1989-01-01,,6126,(B),(B),,,,6126(B)
6128(A),BP,ATTORNEY WIT DECEIVE CRT,M,1939-01-01,,6128,(A),(A),,,,6128(A)
6128(B),BP,ATTNY WILFULY DELAY SUIT,M,1939-01-01,,6128,(B),(B),,,,6128(B)
6128(C),BP,WILFUL REC UNANSWER MONEY,M,1939-01-01,,6128,(C),(C),,,,6128(C)
6152(A)(1),BP,SOLICIT BUSN FOR ATTNY,M,1939-01-01,,6152,(A)(1),(A),(1),,,6152(A)(1)
6152(A)(2),BP,SOLICIT PERSON TO BE RUNR,M,1939-01-01,,6152,(A)(2),(A),(2),,,6152(A)(2)
6200,GC,CRT OFCR ALT/ETC REC/ETC,F,1943-08-04,,6200,,,,,,6200
6201,GC,DESTROY PUBLIC RECORD,F,1943-08-04,,6201,,,,,,6201
6203,GC,MAKE/ETC FALSE CERT/ETC,M,1943-08-04,,6203,,,,,,6203
6253,PC,WORK FURLOW HOLD/ETC:CDC,X,1984-09-10,,6253,,,,,,6253
6254.21(B),GC,POST AP OFCL HOME ADD:GBH,M,1999-01-01,,6254.21,(B),(B),,,,6254.21(B)
6254.21(B),GC,POST AP OFCL HOME ADD:GBI,M,1999-01-01,,6254.21,(B),(B),,,,6254.21(B)
6254.21(B),GC,POST AP OFCL HOME ADD:GBI,F,1999-01-01,,6254.21,(B),(B),,,,6254.21(B)
6311.5(A)(1),LC,DIRECT EMPLOYEE NOT EVAC,M,2020-01-01,,6311.5,(A)(1),(A),(1),,,6311.5(A)(1)
6401.6,BP,UNLAWFUL PROV LEGAL SERVS,M,1999-01-01,,6401.6,,,,,,6401.6
6402,BP,REG REQ:DISBAR/SUSP LAWYR,M,2003-01-01,,6402,,,,,,6402
6404.5(B),LC,VENT:WRKPLACE:SMOKING VIO,I,1995-01-01,,6404.5,(B),(B),,,,6404.5(B)
6410(A),BP,FAIL TO PROVIDE CONTRACT,M,1999-01-01,,6410,(A),(A),,,,6410(A)
6415,BP,LEGAL DOC ASST/UDA VIOL,M,1999-01-01,,6415,,,,,,6415
6423(A),LC,SERIOUS VIOL:STANDARD/ORD,M,1977-01-01,,6423,(A),(A),,,,6423(A)
6425,LC,VIO:CAUS EMP DETH/IMPRMNT,M,1973-10-07,,6425,,,,,,6425
6452(A),RT,UNFILED QUARTERLY TAX RET,M,1986-01-01,,6452,(A),(A),,,,6452(A)
6454,RT,FAIL TO FILE TAX RETURN,M,1943-07-01,,6454,,,,,,6454
6455(C),RT,FAIL FURNISH REQRD RETURN,M,1943-07-01,,6455,(C),(C),,,,6455(C)
653F(D)(1),PC,SOLICIT HS ACTS W/PR,M,2012-06-27,,653F,(D)(1),(D),(1),,,653F(D)(1)
653F(F)(1),PC,SOLICIT COMPUTER CRIME,M,2016-01-01,,653F,(F)(1),(F),(1),,,653F(F)(1)
653F(F)(2),PC,OFFER SOLICIT COMPTR CRM,M,2016-01-01,,653F,(F)(2),(F),(2),,,653F(F)(2)
6600,WI,SEXUALLY VIOLENT PREDATOR,X,2006-11-08,,6600,,,,,,6600
6603.3(A)(1),WI,DISCLS VIC ID INFO:ATTNY,M,2009-01-01,,6603.3,(A)(1),(A),(1),,,6603.3(A)(1)
6603.5,WI,DISCL VIC ID INFO:DCR EMP,M,2009-01-01,,6603.5,,,,,,6603.5
6701,RT,FAIL PLACE SECURITY TAX,M,1943-07-01,,6701,,,,,,6701
6787(B),BP,FILE FALSE CERT OF REG,M,1951-09-22,,6787,(B),(B),,,,6787(B)
6787(H),BP,FLSE USE:ENG/ETC TITL/ETC,M,1951-09-22,,6787,(H),(H),,,,6787(H)
6829.4(B)(1),PR,LESSEE FL COMPLY DEADLINE,M,2020-01-01,,6829.4,(B)(1),(B),(1),,,6829.4(B)(1)
7027.1(A),BP,ADV AS CONTRACTOR W/O LIC,M,1992-01-01,,7027.1,(A),(A),,,,7027.1(A)
7027.3,BP,FRAUD:USE CONTRCTOR LIC #,F,1992-01-01,,7027.3,,,,,,7027.3
7028(A),BP,CONTRACTING W/O LICENSE,M,1983-01-01,2014-12-31,7028,(A),(A),,,,7028(A)
7028(A)(1),BP,CONTRACTING W/O LICENSE,M,2015-01-01,,7028,(A)(1),(A),(1),,,7028(A)(1)
7028(A)(2),BP,CONTRACTING W/SUSPND LIC,M,2015-01-01,,7028,(A)(2),(A),(2),,,7028(A)(2)
7028.16,BP,UNL CONTRCTR:DUR ST EMERG,F,1990-09-24,,7028.16,,,,,,7028.16
7028.16,BP,UNL CONTRCTR:DUR ST EMERG,M,1990-09-24,,7028.16,,,,,,7028.16
7028.17(A),BP,UNLIC CONTRCTR F/COMPLY,M,1989-01-01,,7028.17,(A),(A),,,,7028.17(A)
7051,HS,REMOVE HUMAN REMAIN:UNLAW,F,1939-09-19,,7051,,,,,,7051
7052,HS,MUTILATE/ETC GRAVE REMAIN,F,1939-09-19,,7052,,,,,,7052
7054(A),HS,DEP/ETC HUM RMAIN NOT CEM,M,1991-01-01,,7054,(A),(A),,,,7054(A)
7055,HS,UNAUTH REMAINS REMOVAL,M,1939-09-19,,7055,,,,,,7055
7103(A),HS,FAL PRFORM INTERMNT DUTIE,M,1998-01-01,,7103,(A),(A),,,,7103(A)
7120,FG,POSS UNLAWFUL DAILY LIMIT,M,1958-01-01,,7120,,,,,,7120
7121,FG,SALE/ETC SPORT FISH/ETC,M,1958-01-01,,7121,,,,,,7121
7126(B),BP,UNLIC CONTR VIOL WRK COMP,M,2019-01-01,,7126,(B),(B),,,,7126(B)
7145,FG,FAIL POS/ETC LIC:FISH/ETC,I,1957-09-11,,7145,,,,,,7145
7152(A),RT,VRFY/ETC FALS/ETC TAX RET,M,1995-01-01,,7152,(A),(A),,,,7152(A)
7153(A),BP,HOME IMPROV SELLER NO REG,M,1995-01-01,,7153,(A),(A),,,,7153(A)
7153.5,RT,EVADE/ETC SALES/USE TAX,F,1988-01-01,,7153.5,,,,,,7153.5
7159,BP,CONTRCTR VIO HM IMPR CONT,M,1969-11-10,,7159,,,,,,7159
7159(D),BP,CONTRCTR REQ EXCESS $DOWN,M,1992-01-01,,7159,(D),(D),,,,7159(D)
7161(B),BP,MISREPRSNT $ HOME IMPROVE,M,2007-01-01,,7161,(B),(B),,,,7161(B)
7317,BP,COSMETOLOGY/ETC W/O LIC,M,1992-07-01,,7317,,,,,,7317
7326,WI,AID ESCAPE FROM ST HOSP,F,1969-07-01,,7326,,,,,,7326
7370(A),FG,POSSESS/SALE/ETC STURGEON,M,2008-01-01,,7370,(A),(A),,,,7370(A)
7502,BP,REPOSSESS W/O VALID LIC,M,1981-01-01,,7502,,,,,,7502
7506.9(D),BP,REPO WORK W/O VALID REG,M,1982-01-01,,7506.9,(D),(D),,,,7506.9(D)
7520,BP,ENGAGE BUSINESS:W/O LIC,M,1947-09-19,,7520,,,,,,7520
7523(A),BP,FALSE USE PI/ETC LICENSE,M,1985-01-01,,7523,(A),(A),,,,7523(A)
7539(H),BP,PI CONDCT BUSINES W/O LIC,M,1995-01-01,,7539,(H),(H),,,,7539(H)
7583.12(A),BP,GUARD FAIL POS F/ARM CARD,M,1997-09-24,,7583.12,(A),(A),,,,7583.12(A)
7583.3(A),BP,FAIL CRRY ON DUTY:VAL REG,M,1997-09-24,,7583.3,(A),(A),,,,7583.3(A)
7850(A),FG,OPR W/O COMRCIAL FISH LIC,M,1961-09-15,,7850,(A),(A),,,,7850(A)
7852(C),FG,FISH W/O COM LIC:NONRES,M,1992-01-01,,7852,(C),(C),,,,7852(C)
7852.27,FG,COMERCL FISHER W/O CDL/ID,M,1992-03-12,,7852.27,,,,,,7852.27
7857(D),FG,FAIL POS COM FISH LIC/ETC,M,1997-01-01,,7857,(D),(D),,,,7857(D)
7860(A),FG,TAKE SALMON W/O COM STAMP,M,1982-04-30,,7860,(A),(A),,,,7860(A)
7881(B),FG,VIO:SHOW/ETC COM BOAT REG,M,1992-09-15,,7881,(B),(B),,,,7881(B)
7923,FG,FISH REC VIO:COMM/PASENGR,M,1957-09-11,,7923,,,,,,7923
8043(A),FG,FAIL COMPLT LANDING RECT,M,1998-01-01,,8043,(A),(A),,,,8043(A)
8047(C)(1),FG,COMM FISHER TRNSP LIC VIO,M,1997-04-01,,8047,(C)(1),(C),(1),,,8047(C)(1)
8050,FG,NO LANDNG REC:COMRCL FISH,M,1981-06-30,,8050,,,,,,8050
8101(A),WI,SELL/ETC D/WPN:MNTL PERSN,F,1994-11-30,,8101,(A),(A),,,,8101(A)
8101(B),WI,SELL/ETC F/ARM:MENTL PRSN,F,1994-11-30,,8101,(B),(B),,,,8101(B)
8103(A)(1),WI,POS/ETC F/ARM/DW:MDO PRHB,F,1986-01-01,,8103,(A)(1),(A),(1),,,8103(A)(1)
8103(F)(1),WI,WPN RESTRICTION:MNTL PRSN,F,1990-06-27,,8103,(F)(1),(F),(1),,,8103(F)(1)
8103(F)(1)(B),WI,WPN RESTRICTION:MNTL PRSN,F,2020-01-01,,8103,(F)(1)(B),(F),(1),(B),,8103(F)(1)(B)
8103(F)(1)(B),WI,WPN RESTRICTION:MNTL PRSN,M,2019-01-01,,8103,(F)(1)(B),(F),(1),(B),,8103(F)(1)(B)
