_geocodio_number,_geocodio_street,_geocodio_city,_geocodio_state,_geocodio_zip,_geocodio_street_address,_project_types,_org_names,_org_ids,_subcategory,_category,_parsed,_coc_ids
250,MADRONA WAY,BAINBRIDGE ISLAND,WA,98110,250 MADRONA WAY,PSH,HRBPermanent Supportive Housing,40086,permanent supportive housing,sheltered,"250 MADRONA WAY, BAINBRIDGE ISLAND, WA, 98110",WA-501
250,N ASH ST,ESCONDIDO,CA,92027,250 N ASH ST,ES,Recuperative Care (Non-Vets) (6652); Vets Recuperative Care (6293); Vets Recuperative Care (362) (6293),3739,emergency shelter,unhoused,"250 N ASH ST, ESCONDIDO, CA, 92027",CA-601
250,S CAMBRIAN AVE,BREMERTON,WA,98312,250 S CAMBRIAN AVE,TH; ES,BENBenedict House Transitional; Benedict House -- Transitional; BENBenedict House Emergency; Benedict House,1006,mixed support,sheltered,"250 S CAMBRIAN AVE, BREMERTON, WA, 98312",WA-501
2500,18TH ST,SAN FRANCISCO,CA,94110,2500 18TH ST,RRH; TH; PSH,HFFS - HPP-SHARE Subsidies; Housing Plus; HPP Housing Plus - CoC; Jelani- GF+HEAP,38328,mixed support,sheltered,"2500 18TH ST, SAN FRANCISCO, CA, 94110",CA-501
2500,BARBERS POINT RD,ALAMEDA,CA,94501,2500 BARBERS POINT RD,PSH,BFWC Bessie Coleman Permanent,8051,permanent supportive housing,sheltered,"2500 BARBERS POINT RD, ALAMEDA, CA, 94501",CA-502
2500,E ST,BELLINGHAM,WA,98225,2500 E ST,ES,NYSSeasonal Shelter (LSA),42922,emergency shelter,unhoused,"2500 E ST, BELLINGHAM, WA, 98225",WA-501
2500,MAIN ST,VANCOUVER,WA,98660,2500 MAIN ST,RRH; TH; PSH; ES,HSC - HSSP RRH Vancouver; Motel Vouchers; HSC - Diversion; Housing Support Network; HSC - HSSP RRH Evergreen; Second Step - CF Transitional Housing; VASH-HUD/VASH; Severe Weather Shelter; Second Step - Transitional Housing; HSC - HSSP RRH Battle Ground; HSC - Diversion Families\WYFFDIV,11603; 8389; 10204,mixed support,sheltered,"2500 MAIN ST, VANCOUVER, WA, 98660",WA-508
2500,NE 54TH ST,SEATTLE,WA,98105,2500 NE 54TH ST,OPH; TH; RRH; ES,South Seattle Shelter; HOPE Center; Marion West; Open Doors; Bridge Transitional Housing YC; Straley House / Catalyst; Straley House,7635,mixed support,sheltered,"2500 NE 54TH ST, SEATTLE, WA, 98105",WA-500
2500,SENTER RD,SAN JOSE,CA,95111,2500 SENTER RD,PSH,[CCP Housing Maintenance] Renascent Place PBV; PSH at Renascent Place,5902; 3815,permanent supportive housing,sheltered,"2500 SENTER RD, SAN JOSE, CA, 95111",CA-500
2501,W FLORENCE AVE,LOS ANGELES,CA,90043,2501 W FLORENCE AVE,TH,GPD - Women and Children First,929,transitional housing,sheltered,"2501 W FLORENCE AVE, LOS ANGELES, CA, 90043",CA-600
2505,COTTAGE WAY,SACRAMENTO,CA,95825,2505 COTTAGE WAY,TH,Bridges SLE - TH,44361,transitional housing,sheltered,"2505 COTTAGE WAY, SACRAMENTO, CA, 95825",CA-503
2505,ESPLANADE,CHICO,CA,95926,2505 ESPLANADE,PSH,Avenida House,1184,permanent supportive housing,sheltered,"2505 ESPLANADE, CHICO, CA, 95926",CA-519
2505,HOWARD AVE,EVERETT,WA,98203,2505 HOWARD AVE,OPH,New Century Village: Other; New Century House: Teen; New Century House: Other; HH-New Century Village Other,8932,OPH,sheltered,"2505 HOWARD AVE, EVERETT, WA, 98203",WA-504
2507,HOWARD AVE,EVERETT,WA,98203,2507 HOWARD AVE,OPH; PSH,HH-New Century Village MH-PSH; New Century Village Bldg C: Teen; HH-New Century Village Other-PSH; New Century Village: MH-PSH; New Century Village Bldg A: Teen; New Century Village: Other (PSH); HH-New Century Village Teen or YF; New Century Village Teen or YF; New Century Village Bldg A: Mental Health,8932,mixed support,sheltered,"2507 HOWARD AVE, EVERETT, WA, 98203",WA-504
251,GEORGIA ST,VALLEJO,CA,94590,251 GEORGIA ST,PSH,STOP Plus Program,348,permanent supportive housing,sheltered,"251 GEORGIA ST, VALLEJO, CA, 94590",CA-518
2511,REGENT ST,BERKELEY,CA,94704,2511 REGENT ST,PSH,Regent Street House,30726,permanent supportive housing,sheltered,"2511 REGENT ST, BERKELEY, CA, 94704",CA-502
2514,W VERNON AVE,LOS ANGELES,CA,90008,2514 W VERNON AVE,ES,Winter Shelter Program SPA 6; Winter Shelter Program - (SSG); Winter Shelter Program Vernon SPA 6,28732; 42579,emergency shelter,unhoused,"2514 W VERNON AVE, LOS ANGELES, CA, 90008",CA-600
2516,I ST NE,AUBURN,WA,98002,2516 I ST NE,PSH,Valley Cities Landing,7418,permanent supportive housing,sheltered,"2516 I ST NE, AUBURN, WA, 98002",WA-500
252,S RAMPART BLVD,LOS ANGELES,CA,90057,252 S RAMPART BLVD,PSH,PBV Rampart Mint Apartments,18774,permanent supportive housing,sheltered,"252 S RAMPART BLVD, LOS ANGELES, CA, 90057",CA-600
2520,ALSACE AVE,LOS ANGELES,CA,90016,2520 ALSACE AVE,ES,Year Round Emergency Shelter,,emergency shelter,unhoused,"2520 ALSACE AVE, LOS ANGELES, CA, 90016",CA-600
2520,CEDAR ST,EVERETT,WA,98201,2520 CEDAR ST,ES,Interfaith Family Shelter; Interfaith-Shelter,7126,emergency shelter,unhoused,"2520 CEDAR ST, EVERETT, WA, 98201",WA-504
2520,MILLER AVE,MODESTO,CA,95354,2520 MILLER AVE,PSH,Miller Point S+C 5,3469,permanent supportive housing,sheltered,"2520 MILLER AVE, MODESTO, CA, 95354",CA-510
2521,OLD SONOMA RD,NAPA,CA,94558,2521 OLD SONOMA RD,ES,Samaritan Family Center,11868,emergency shelter,unhoused,"2521 OLD SONOMA RD, NAPA, CA, 94558",CA-517
2522,SE CLINTON ST,PORTLAND,OR,97202,2522 SE CLINTON ST,PSH,Cascadia - Clinton Street HIC (3019); Cascadia - Clinton Street (3019),1217,permanent supportive housing,sheltered,"2522 SE CLINTON ST, PORTLAND, OR, 97202",OR-501
2524,16TH AVE S,SEATTLE,WA,98144,2524 16TH AVE S,RRH; TH,Transitional Housing Program Ferdinand/Shelton Houses; ECR - RRH for Families; El Centro Homeless Assistance Program,2405,mixed support,sheltered,"2524 16TH AVE S, SEATTLE, WA, 98144",WA-500
2525,RUCKER AVE,EVERETT,WA,98201,2525 RUCKER AVE,ES,Cold Weather Shelter; TSA-Hotel Vouchers,6604,emergency shelter,unhoused,"2525 RUCKER AVE, EVERETT, WA, 98201",WA-504
2525,W VERNON AVE,LOS ANGELES,CA,90008,2525 W VERNON AVE,ES,Winter Shelter Program,38249,emergency shelter,unhoused,"2525 W VERNON AVE, LOS ANGELES, CA, 90008",CA-600
2526,ALEXANDER CT,RICHLAND,WA,99354,2526 ALEXANDER CT,TH,CBVTransitional Housing (Richland),18903,transitional housing,sheltered,"2526 ALEXANDER CT, RICHLAND, WA, 99354",WA-501
2529,W MARCH LN,STOCKTON,CA,95207,2529 W MARCH LN,ES,SSSH housing,44311,emergency shelter,unhoused,"2529 W MARCH LN, STOCKTON, CA, 95207",CA-511
253,1ST ST,STEVENSON,WA,98648,253 1ST ST,ES,SSOES Voucher (LSA),6199,emergency shelter,unhoused,"253 1ST ST, STEVENSON, WA, 98648",WA-501
2530,3RD ST,RIVERSIDE,CA,92507,2530 3RD ST,ES,POL Family Emergency Shelter; Family Shelter,5389,emergency shelter,unhoused,"2530 3RD ST, RIVERSIDE, CA, 92507",CA-608
2543,E TERRACE ST,ANAHEIM,CA,92806,2543 E TERRACE ST,TH,Bethany,4661,transitional housing,sheltered,"2543 E TERRACE ST, ANAHEIM, CA, 92806",CA-602
255,BROADWAY,SAN FRANCISCO,CA,94111,255 BROADWAY,OPH; PSH,Broadway Sansome Apartments; Broadway Sansome- LOSP,30422; 1524,mixed support,sheltered,"255 BROADWAY, SAN FRANCISCO, CA, 94111",CA-501
2550,W CLINTON AVE,FRESNO,CA,93705,2550 W CLINTON AVE,ES; RRH; TH; PSH,Fresno HOME Triage; Fresno Housing Plus II; Fresno Housing Plus III; Fresno HOME Bridge; Home Sweet Home; Hacienda,13364; 23928,mixed support,sheltered,"2550 W CLINTON AVE, FRESNO, CA, 93705",CA-514
2551,MOTOR AVE,LOS ANGELES,CA,90064,2551 MOTOR AVE,ES,COVID - LA Cheviot Hills Recreation Center Tier 1 - Trailers,28847,emergency shelter,unhoused,"2551 MOTOR AVE, LOS ANGELES, CA, 90064",CA-600
25520,WOODWARD AVE,LOMITA,CA,90717,25520 WOODWARD AVE,TH,Building Hope,29032,transitional housing,sheltered,"25520 WOODWARD AVE, LOMITA, CA, 90717",CA-600
256,S OCCIDENTAL BLVD,LOS ANGELES,CA,90057,256 S OCCIDENTAL BLVD,TH,Freedom House - Casa Libre Homeless Youth Shelter,1483,transitional housing,sheltered,"256 S OCCIDENTAL BLVD, LOS ANGELES, CA, 90057",CA-600
25675,PROSPECT AVE,LOMA LINDA,CA,92354,25675 PROSPECT AVE,SH,USV VA Safe Haven (SH),38934,safe haven,sheltered,"25675 PROSPECT AVE, LOMA LINDA, CA, 92354",CA-609
2577,SAN PABLO AVE,OAKLAND,CA,94612,2577 SAN PABLO AVE,PSH,EBCRP FACT,18217,permanent supportive housing,sheltered,"2577 SAN PABLO AVE, OAKLAND, CA, 94612",CA-502
258,W A ST,HAYWARD,CA,94541,258 W A ST,ES,SSP South County Homeless Project,902,emergency shelter,unhoused,"258 W A ST, HAYWARD, CA, 94541",CA-502
259,E MAIN ST,DAYTON,WA,99328,259 E MAIN ST,ES,TIMEmergency Shelter Vouchers (PIT); Emergency Shelter,5454,emergency shelter,unhoused,"259 E MAIN ST, DAYTON, WA, 99328",WA-501
25964,MISSION RD,LOMA LINDA,CA,92354,25964 MISSION RD,TH,Inland Housing Solutions - TH,3864,transitional housing,sheltered,"25964 MISSION RD, LOMA LINDA, CA, 92354",CA-609
26,S ALMANSOR ST,ALHAMBRA,CA,91801,26 S ALMANSOR ST,TH,Athena Homes ILP; Athena Homes; ILP SPA 3 Athena Homes,3279,transitional housing,sheltered,"26 S ALMANSOR ST, ALHAMBRA, CA, 91801",CA-600
260,COMMERCIAL ST,SAN JOSE,CA,95112,260 COMMERCIAL ST,ES,LifeMoves-GTH-ES (formerly LifeMoves-CSI-ES); LifeMoves-GTH-ES-Singles (formerly LifeMoves-GTH-ES); LifeMoves-CSI-ES; LifeMoves-MSI-ES-Inclement Weather Inn; LifeMoves-GTH-ES-Families (formerly LifeMoves-GTH-ES); InnVision Shelter Network (CSI) Commercial Street Inn(32); InnVision Shelter Network (CSI) Cold Weather Inn(1864),8977,emergency shelter,unhoused,"260 COMMERCIAL ST, SAN JOSE, CA, 95112",CA-500
260,GOLDEN GATE AVE,SAN FRANCISCO,CA,94102,260 GOLDEN GATE AVE,ES,Hamilton Family Residence and Emergency Shelter; Hamilton Families - Hamilton Family Residence,3474,emergency shelter,unhoused,"260 GOLDEN GATE AVE, SAN FRANCISCO, CA, 94102",CA-501
260,VAN BUREN RD,MENLO PARK,CA,94025,260 VAN BUREN RD,TH; ES,HCHV/EH - Haven Family House; HCHV Haven Family House; Haven Family House,9851,mixed support,sheltered,"260 VAN BUREN RD, MENLO PARK, CA, 94025",CA-512
2600,S HOOVER ST,LOS ANGELES,CA,90007,2600 S HOOVER ST,PSH,PBV Casa de Rosas Campus,11055,permanent supportive housing,sheltered,"2600 S HOOVER ST, LOS ANGELES, CA, 90007",CA-600
2600,SHOREWOOD LN,BELLINGHAM,WA,98226,2600 SHOREWOOD LN,ES,LNSLummi Stepping Stone ES (LSA),42189,emergency shelter,unhoused,"2600 SHOREWOOD LN, BELLINGHAM, WA, 98226",WA-501
2600,SW HOLDEN ST,SEATTLE,WA,98126,2600 SW HOLDEN ST,OPH,Independence Bridge,3242,OPH,sheltered,"2600 SW HOLDEN ST, SEATTLE, WA, 98126",WA-500
2600,WILSHIRE BLVD,LOS ANGELES,CA,90057,2600 WILSHIRE BLVD,OPH; PSH,DHS StJoseph Bonus; DMH Step Up on Second Bonus; DMH Gettlove Bonus; DMH OPCC Bonus; DHS SSG HOPICS Bonus; DHS Homeless Healthcare LA Bonus; DHS OPCC Bonus; Homeless Veterans Initiative (HVI); DMH Downtown Womens Center Bonus; DHS Step Up on Second Bonus; DHS Gettlove Bonus; DHS Downtown Womens Center Bonus; VASH - HACLA; VASH - HACLA (Under Development Allocation); DHS Mental Health America Bonus; DHS LA Family Housing Bonus; DMH StJoseph Bonus; CA1341 DMH Directly-Operated Bonus; DMH LAMP Bonus; DMH LA Family Housing Bonus; DHS LAMP Bonus,11067; 41934; 11055; 42706,mixed support,sheltered,"2600 WILSHIRE BLVD, LOS ANGELES, CA, 90057",CA-600
2601,SUMMIT AVE,EVERETT,WA,98201,2601 SUMMIT AVE,TH; ES,Drug Court House; Summit (Drug Court) House,2665,mixed support,sheltered,"2601 SUMMIT AVE, EVERETT, WA, 98201",WA-504
2601,WILSHIRE BLVD,LOS ANGELES,CA,90057,2601 WILSHIRE BLVD,ES,Cal Works Homeless Assistance Program* - 38 Metro North; Cal Works Homeless Assistance Program 38 Metro North; Cal Works Homeless Assistance Program 38 Metro North (Vouchers),18705,emergency shelter,unhoused,"2601 WILSHIRE BLVD, LOS ANGELES, CA, 90057",CA-600
2602,GIFFEN AVE,SANTA ROSA,CA,95407,2602 GIFFEN AVE,TH,Giffen House; Harold's House (Giffen),1755,transitional housing,sheltered,"2602 GIFFEN AVE, SANTA ROSA, CA, 95407",CA-504
2602,WILSHIRE BLVD,SANTA MONICA,CA,90403,2602 WILSHIRE BLVD,PSH,DMH Homeless Healthcare LA Bonus; DMH Mental Health America Bonus,11055,permanent supportive housing,sheltered,"2602 WILSHIRE BLVD, SANTA MONICA, CA, 90403",CA-600
2603,S FRANCIS ST,PORT ANGELES,WA,98362,2603 S FRANCIS ST,RRH,HOME TBRA (NP); PHATBRA RRH (Clallam); PHCTBRA RRH (Jefferson); TBRA RRH (NP),41320; 30568,rapid rehousing,sheltered,"2603 S FRANCIS ST, PORT ANGELES, WA, 98362",WA-501
2604,WILSHIRE BLVD,SANTA MONICA,CA,90403,2604 WILSHIRE BLVD,PSH,DMH SSG HOPICS Bonus,11055,permanent supportive housing,sheltered,"2604 WILSHIRE BLVD, SANTA MONICA, CA, 90403",CA-600
2609,BROADWAY E,SEATTLE,WA,98102,2609 BROADWAY E,PSH,Broadway House,4227,permanent supportive housing,sheltered,"2609 BROADWAY E, SEATTLE, WA, 98102",WA-500
2609,NE 93RD AVE,VANCOUVER,WA,98662,2609 NE 93RD AVE,ES,Janus Oak Bridge Youth Shelter - CRC; Oak Bridge - BCP; Janus Oak Bridge Youth Shelter - HOPE; Oak Bridge,9011,emergency shelter,unhoused,"2609 NE 93RD AVE, VANCOUVER, WA, 98662",WA-508
2609,SE 145TH AVE,PORTLAND,OR,97236,2609 SE 145TH AVE,PSH,Human Solutions B2H/Arbor Glen (2554); Human Solutions B2H (2554) / Arbor Glen,3708,permanent supportive housing,sheltered,"2609 SE 145TH AVE, PORTLAND, OR, 97236",OR-501
2610,INDUSTRY WAY,LYNWOOD,CA,90262,2610 INDUSTRY WAY,PSH,HACOLA Shelter Plus Care; DHS SCHARP Bonus; DMH SCHARP Bonus; HACoLA Shelter Plus Care,41985; 42703; 11055,permanent supportive housing,sheltered,"2610 INDUSTRY WAY, LYNWOOD, CA, 90262",CA-600
2612,MODOC RD,SANTA BARBARA,CA,93105,2612 MODOC RD,PSH,Sarah House,15062,permanent supportive housing,sheltered,"2612 MODOC RD, SANTA BARBARA, CA, 93105",CA-603
2613,W MARINE VIEW DR,EVERETT,WA,98201,2613 W MARINE VIEW DR,TH,Compass-Haven House; Haven House,2006,transitional housing,sheltered,"2613 W MARINE VIEW DR, EVERETT, WA, 98201",WA-504
2615,E CLINTON AVE,FRESNO,CA,93703,2615 E CLINTON AVE,PSH,VASH,15224,permanent supportive housing,sheltered,"2615 E CLINTON AVE, FRESNO, CA, 93703",CA-513
2615,S GRAND AVE,LOS ANGELES,CA,90007,2615 S GRAND AVE,ES,Cal Works Homeless Assistance Program* - 13 Metro Family; Cal Works Homeless Assistance Program 13 Metro Family (Vouchers); Cal Works Homeless Assistance Program 13 Metro Family,18705,emergency shelter,unhoused,"2615 S GRAND AVE, LOS ANGELES, CA, 90007",CA-600
2616,KWINA RD,BELLINGHAM,WA,98226,2616 KWINA RD,TH,LHWTransitional Housing Program (LSA),18951,transitional housing,sheltered,"2616 KWINA RD, BELLINGHAM, WA, 98226",WA-501
2621,26TH ST,SANTA MONICA,CA,90405,2621 26TH ST,PSH,Step Up on 26th,6759,permanent supportive housing,sheltered,"2621 26TH ST, SANTA MONICA, CA, 90405",CA-600
2621,UNIVERSITY AVE,SAN DIEGO,CA,92104,2621 UNIVERSITY AVE,PSH,SDHC - PSH - SPC University Delta Merged - Pathfin; SDHC - PSH - SPC Streamview Merged - Pathfinders (,44051,permanent supportive housing,sheltered,"2621 UNIVERSITY AVE, SAN DIEGO, CA, 92104",CA-601
2624,ROCKEFELLER AVE,EVERETT,WA,98201,2624 ROCKEFELLER AVE,ES,TSA-Everett Shelter,6604,emergency shelter,unhoused,"2624 ROCKEFELLER AVE, EVERETT, WA, 98201",WA-504
2624,SANTA MONICA BLVD,SANTA MONICA,CA,90404,2624 SANTA MONICA BLVD,PSH,Daniel's Village,6759; 18786,permanent supportive housing,sheltered,"2624 SANTA MONICA BLVD, SANTA MONICA, CA, 90404",CA-600
2624,W STEELE LN,SANTA ROSA,CA,95403,2624 W STEELE LN,TH,Steele,3647,transitional housing,sheltered,"2624 W STEELE LN, SANTA ROSA, CA, 95403",CA-504
2625,W BRUNEAU PL,KENNEWICK,WA,99336,2625 W BRUNEAU PL,TH,River of Life Transitional Housing ROLANSIL; ROLANSIL Transitional Housing; ANSIL,32376,transitional housing,sheltered,"2625 W BRUNEAU PL, KENNEWICK, WA, 99336",WA-501
2625,ZANKER RD,SAN JOSE,CA,95134,2625 ZANKER RD,PSH,Catholic Charities - New Directions in Healthcare for the Homeless (353)(1507); Catholic Charities - Family Housing (355)(1845); Catholic Charities - New Directions Medical Respite (357)(1959),,permanent supportive housing,sheltered,"2625 ZANKER RD, SAN JOSE, CA, 95134",CA-500
2626,N COOK ST,SPOKANE,WA,99207,2626 N COOK ST,TH,VOA--TH--Service Intensive; GPD - Rest & Recoup House Chronically Homeless Veterans TH,7261,transitional housing,sheltered,"2626 N COOK ST, SPOKANE, WA, 99207",WA-502
2626,PACIFIC ST,HIGHLAND,CA,92346,2626 PACIFIC ST,RRH,SA3 HEAP Rapid Rehousing (RR-H),43511,rapid rehousing,sheltered,"2626 PACIFIC ST, HIGHLAND, CA, 92346",CA-609
2629,MAIN ST,UNION GAP,WA,98903,2629 MAIN ST,ES,SVTHotel Vouchers; Emergency: Hotel/Motel Vouchers,10428,emergency shelter,unhoused,"2629 MAIN ST, UNION GAP, WA, 98903",WA-501; WA-507
26300,MISSION RD,LOMA LINDA,CA,92354,26300 MISSION RD,RRH,LTH CoC Infinite Horizons (RR-H),3864,rapid rehousing,sheltered,"26300 MISSION RD, LOMA LINDA, CA, 92354",CA-609
2631,SUMNER,HOQUIAM,WA,98550,2631 SUMNER,PSH,2631 Sumner Hoquiam; Permanent Supportive Housing (2631 Sumner Hoquiam) (NP),12827,permanent supportive housing,sheltered,"2631 SUMNER, HOQUIAM, WA, 98550",WA-501
26326,NE KENNEDY DR,DUVALL,WA,98019,26326 NE KENNEDY DR,TH,Transitional Housing (Duvall),381,transitional housing,sheltered,"26326 NE KENNEDY DR, DUVALL, WA, 98019",WA-500
26383,VIA DAMASCO,MISSION VIEJO,CA,92691,26383 VIA DAMASCO,TH,SCO Transitional Housing - Mission Viejo,6688,transitional housing,sheltered,"26383 VIA DAMASCO, MISSION VIEJO, CA, 92691",CA-602
264,HARBOR BLVD,BELMONT,CA,94002,264 HARBOR BLVD,PSH,VASH Vouchers; VASH Vouchers - New,3677,permanent supportive housing,sheltered,"264 HARBOR BLVD, BELMONT, CA, 94002",CA-512
264,W 9TH ST,SAN PEDRO,CA,90731,264 W 9TH ST,ES,Recovery Bridge Housing SAPC,43649,emergency shelter,unhoused,"264 W 9TH ST, SAN PEDRO, CA, 90731",CA-600
26420,NE VIRGINIA ST,DUVALL,WA,98019,26420 NE VIRGINIA ST,OPH,Duvall Place,3301,OPH,sheltered,"26420 NE VIRGINIA ST, DUVALL, WA, 98019",WA-500
2643,STONY POINT RD,SANTA ROSA,CA,95407,2643 STONY POINT RD,PSH,Stony Point Commons (adults with mental illness); Stony Point Commons,8363,permanent supportive housing,sheltered,"2643 STONY POINT RD, SANTA ROSA, CA, 95407",CA-504
265,HYDE ST,SAN FRANCISCO,CA,94102,265 HYDE ST,PSH,First Avenues,3474,permanent supportive housing,sheltered,"265 HYDE ST, SAN FRANCISCO, CA, 94102",CA-501
2650,148TH AVE SE,BELLEVUE,WA,98007,2650 148TH AVE SE,OPH; PSH; ES,Congregations -Permanent Housing Program; Congregations for the Homeless Permanent Housing; Congregations for the Homeless Shelter,23311,mixed support,sheltered,"2650 148TH AVE SE, BELLEVUE, WA, 98007",WA-500
2665,KWINA RD,BELLINGHAM,WA,98226,2665 KWINA RD,TH; ES,LNSLummi Stepping Stone Transitional Housing (PIT); LCVLummi Domestic Violence Shelter (LSA),42189; 18952,mixed support,sheltered,"2665 KWINA RD, BELLINGHAM, WA, 98226",WA-501
267,BELMONT AVE,LONG BEACH,CA,90803,267 BELMONT AVE,PSH; ES,Languille Emergency Shelter at Good Shepherd Center for Homeless Women and Children; Languille Emergency Shelter; CA0357 CHOISS SPA8; CES Bridge Housing Program Languille; CES Crisis Housing Program Languille,41903; 28638,mixed support,sheltered,"267 BELMONT AVE, LONG BEACH, CA, 90803",CA-600
267,BENNETT HILL CT,VACAVILLE,CA,95688,267 BENNETT HILL CT,TH; ES,Opportunity House,10198,mixed support,sheltered,"267 BENNETT HILL CT, VACAVILLE, CA, 95688",CA-518
2673,PETALUMA HILL RD,SANTA ROSA,CA,95404,2673 PETALUMA HILL RD,TH,Hill,3647,transitional housing,sheltered,"2673 PETALUMA HILL RD, SANTA ROSA, CA, 95404",CA-504
2674,E CLINTON AVE,FRESNO,CA,93703,2674 E CLINTON AVE,OPH,Renaissance at Parc Grove,10669; 8663,OPH,sheltered,"2674 E CLINTON AVE, FRESNO, CA, 93703",CA-514
2686,SPRING ST,REDWOOD CITY,CA,94063,2686 SPRING ST,TH; ES,Spring Street Emergency Shelter; Spring Street Transitional Housing,4452,mixed support,sheltered,"2686 SPRING ST, REDWOOD CITY, CA, 94063",CA-512
2691,RICHTER AVE,IRVINE,CA,92606,2691 RICHTER AVE,RRH; TH; PSH; ES,Santa Ana ESG Rapid Re-housing; SHP Stanton Multi-Service Center; HAPP Rapid Re-housing; Recuperative Care Program; Interim Housing Program,11203,mixed support,sheltered,"2691 RICHTER AVE, IRVINE, CA, 92606",CA-602
27,SUDDEN ST,WATSONVILLE,CA,95076,27 SUDDEN ST,TH,Sudden Street TH & Family TH,5129,transitional housing,sheltered,"27 SUDDEN ST, WATSONVILLE, CA, 95076",CA-508
27,SW RUSSELL AVE,STEVENSON,WA,98648,27 SW RUSSELL AVE,ES,Skamania County Shelter,7556,emergency shelter,unhoused,"27 SW RUSSELL AVE, STEVENSON, WA, 98648",WA-501
2700,BARKLEY RD,CAMINO,CA,95709,2700 BARKLEY RD,TH,Tree House,6896,transitional housing,sheltered,"2700 BARKLEY RD, CAMINO, CA, 95709",CA-525
2700,FULTON AVE,SACRAMENTO,CA,95821,2700 FULTON AVE,RRH; OPH,HSP; Flexible Supportive Rehousing Program; Flexible Supportive Rehousing Program - GF,41625; 9662,mixed support,sheltered,"2700 FULTON AVE, SACRAMENTO, CA, 95821",CA-503
2700,GARVEY AVE,MODESTO,CA,95350,2700 GARVEY AVE,TH,Garvey,6753,transitional housing,sheltered,"2700 GARVEY AVE, MODESTO, CA, 95350",CA-510
2700,MERCED ST,SAN LEANDRO,CA,94577,2700 MERCED ST,ES,Sister Me Home / Safe House,8051,emergency shelter,unhoused,"2700 MERCED ST, SAN LEANDRO, CA, 94577",CA-502
2704,I ST NE,AUBURN,WA,98002,2704 I ST NE,TH; PSH,Phoenix Rising; Rita's House (Auburn); Families First; Coming Up; Pathways First; Rita's House; Homeless Services Enhancement Program; United Way Permanent Supportive Housing,7418; 12272,mixed support,sheltered,"2704 I ST NE, AUBURN, WA, 98002",WA-500
2708,WESTMOOR CT SW,OLYMPIA,WA,98502,2708 WESTMOOR CT SW,OPH; RRH,NWRRapid ReHousing - RRH; NWRRapid ReHousing CHG - TST HP; NWRRapid ReHousing - CHG - TST RRH,38666,mixed support,sheltered,"2708 WESTMOOR CT SW, OLYMPIA, WA, 98502",WA-501
2709,3RD AVE,SEATTLE,WA,98121,2709 3RD AVE,ES,NEST; New Horizons Young Adult Shelter; Cedar Street Shelter; Nest Shelter,38542,emergency shelter,unhoused,"2709 3RD AVE, SEATTLE, WA, 98121",WA-500
271,E 43RD ST,LOS ANGELES,CA,90011,271 E 43RD ST,TH,Restoration Re-Entry Residence Men,42556,transitional housing,sheltered,"271 E 43RD ST, LOS ANGELES, CA, 90011",CA-600
2711,HARRISON AVE,EVERETT,WA,98201,2711 HARRISON AVE,OPH,Harrison House; EGM-Harrison House,2490,OPH,sheltered,"2711 HARRISON AVE, EVERETT, WA, 98201",WA-504
2712,W VERNON AVE,LOS ANGELES,CA,90008,2712 W VERNON AVE,ES,Winter Shelter Program Youth SPA 6,42683,emergency shelter,unhoused,"2712 W VERNON AVE, LOS ANGELES, CA, 90008",CA-600
2718,FREEDOM BLVD,WATSONVILLE,CA,95076,2718 FREEDOM BLVD,PSH,Freedom Cottage,5904,permanent supportive housing,sheltered,"2718 FREEDOM BLVD, WATSONVILLE, CA, 95076",CA-508
2720,E MADISON ST,SEATTLE,WA,98112,2720 E MADISON ST,ES,Bailey-Boushay House Shelter,42681,emergency shelter,unhoused,"2720 E MADISON ST, SEATTLE, WA, 98112",WA-500
2720,NE 144TH ST,SEATTLE,WA,98125,2720 NE 144TH ST,TH,Rosa Parks House,1657,transitional housing,sheltered,"2720 NE 144TH ST, SEATTLE, WA, 98125",WA-500
27233,CAMP PLENTY RD,CANYON COUNTRY,CA,91351,27233 CAMP PLENTY RD,ES,Cal Works Homeless Assistance Program 51 Santa Clarita (Vouchers); Cal Works Homeless Assistance Program 51 Santa Clarita; Cal Works Homeless Assistance Program* - 51 Santa Clarita,18705,emergency shelter,unhoused,"27233 CAMP PLENTY RD, CANYON COUNTRY, CA, 91351",CA-600
2726,CEDAR ST,EVERETT,WA,98201,2726 CEDAR ST,ES,CH-Central Shelter; Cocoon House Central,1717,emergency shelter,unhoused,"2726 CEDAR ST, EVERETT, WA, 98201",WA-504
2726,E HILLCREST DR,THOUSAND OAKS,CA,91362,2726 E HILLCREST DR,PSH,Hillcrest Villas,9171,permanent supportive housing,sheltered,"2726 E HILLCREST DR, THOUSAND OAKS, CA, 91362",CA-611
2727,SE ALDER ST,PORTLAND,OR,97214,2727 SE ALDER ST,PSH,Our House of Portland (3007),4904,permanent supportive housing,sheltered,"2727 SE ALDER ST, PORTLAND, OR, 97214",OR-501
27287,PATRICK AVE,HAYWARD,CA,94544,27287 PATRICK AVE,ES,South Hayward Winter Warming Shelter,43029,emergency shelter,unhoused,"27287 PATRICK AVE, HAYWARD, CA, 94544",CA-502
2730,ADELINE ST,OAKLAND,CA,94607,2730 ADELINE ST,RRH,SSVF - East Bay Community Recovery Project SSVF RRH; East Bay Community Recovery Project SSVF Rapid Rehousing,32691,rapid rehousing,sheltered,"2730 ADELINE ST, OAKLAND, CA, 94607",CA-505
